retweet,likes,reply,num,image,video,gif
10,52,8,18,2,0,0
8,21,2,11,4,0,0
8,45,5,8,1,0,0
17,52,5,13,2,0,0
15,89,9,19,2,0,0
17,60,3,17,4,0,0
8,26,6,9,0,1,0
15,27,3,9,2,0,0
7,19,1,6,2,0,0
10,65,10,17,2,0,0
66,236,17,27,4,0,0
45,88,10,37,4,0,0
82,268,24,40,8,0,0
57,264,26,45,4,1,0
100,302,29,77,10,0,0
180,949,112,228,34,2,0
158,984,176,173,30,5,0
312,1068,77,107,19,2,0
52,310,46,94,15,1,0
33,155,9,56,6,1,0
29,164,21,34,5,1,0
28,153,16,15,3,0,0
28,83,5,30,4,1,0
43,157,11,21,9,0,0
15,102,20,10,2,0,0
4,19,1,7,3,0,0
6,46,4,10,6,0,0
20,53,10,7,1,1,0
15,25,3,10,1,0,0
0,4,1,3,0,0,0
5,13,0,5,0,0,0
12,17,3,7,1,0,0
4,5,1,4,2,0,0
8,22,3,17,1,0,0
11,31,3,17,7,0,0
17,37,4,13,3,0,0
10,22,3,16,1,0,0
655,2380,117,24,4,1,0
3,38,5,16,3,0,0
7,17,6,11,0,0,0
38,194,19,24,6,0,0
46,150,20,13,4,0,0
8,23,1,17,4,0,0
17,50,11,12,4,0,0
13,35,6,16,6,0,0
4,8,0,4,1,0,0
16,44,6,10,2,0,0
82,546,58,9,1,0,0
4,14,1,4,1,0,0
1,1,0,2,0,0,0
0,1,0,2,0,0,0
32,126,16,4,1,0,0
1,4,0,3,1,0,0
2,3,0,1,0,1,0
2,4,0,6,4,0,0
2,17,0,3,0,0,0
11,88,14,11,4,1,0
1,3,0,2,0,0,0
2,21,2,6,1,1,0
3,11,2,3,2,0,0
4,13,1,10,3,0,0
8,13,0,6,2,0,0
0,1,1,6,1,0,0
12,31,2,10,2,0,0
2,15,1,6,2,0,0
7,11,2,10,4,0,0
17,110,17,9,1,1,0
6,28,2,5,2,0,0
0,2,0,4,0,0,0
6,15,4,3,0,0,0
1,3,1,3,1,0,0
1,3,1,2,0,1,0
4,5,1,7,4,0,0
0,5,1,1,1,0,0
1,1,0,3,0,0,0
0,2,0,4,0,0,0
0,5,0,2,0,0,0
0,0,0,2,1,0,0
0,1,0,1,1,0,0
1,4,0,1,1,0,0
0,0,0,1,1,0,0
